"Timestamp","1. What generation do you belong to? 
您屬於哪一個世代？","2. Are you a college student? 
您是大學的學生嗎？","3. If you are a college student, what major are you? 
如果您是大學生，您的主修是什麼？","4. Financial Knowledge: On a scale of 1 (Novice) to 5 (Expert), how would you rate your overall financial literacy? 
財務知識：在 1（初學者）到 5（專家）的範圍內，您會如何評價自己的整體財務素養？","5. Have you invested in the stock market? 
您曾經投資股市嗎？","6. How many years have you invested in the stock market? 
您在股市投資了多少年？","7. Reasons for Not Investing: If you have not invested in the stock market, what are the primary reasons? 
不投資的原因：如果您沒有投資股市，主要原因是什麼？（可複選）","8. Motivation for Investing: If you do invest in the stock market (or want to), what is your primary motivation? 
投資動機：如果您有投資股市（或想投資），您的主要動機是什麼？","9 .  Awareness and Perception: How familiar are you with cryptocurrency (e.g., Bitcoin, Ethereum, XRP)? 認知與看法：您對加密貨幣了解程度如何？","10 .  Willingness to Invest: If you have not yet invested in crypto, how willing are you to invest in cryptocurrency in the future? 
投資意願：如果您尚未投資加密貨幣，您未來對加密貨幣投資的意願如何？","11. How much would large-scale investment by major banks influence your willingness to invest in crypto?
大型銀行的大規模投資會在多大程度上影響您對加密貨幣的投資意願？","12 .  Do you believe that banks have your best interest in mind when they invest on your behalf? 
當銀行代表您進行投資時，您認為他們是以您的最佳利益為考量嗎？","13 .  Factors Influencing Crypto Investment: Which factors would make you more likely to invest in cryptocurrency? (Select all that apply) 
影響加密貨幣投資的因素：哪些因素會讓您更可能投資加密貨幣？（可複選）","14 .  SWIFT System Knowledge: How familiar are you with the SWIFT system used for international bank transactions? 
SWIFT 系統認知: 您對國際銀行交易使用的 SWIFT 系統了解程度如何？","15 .  Crypto Replacing SWIFT: To what extent do you agree or disagree that ""Cryptocurrencies will one day replace the SWIFT system for international payments""? 
加密貨幣取代 SWIFT:  對以下說法，您在多大程度上同意或不同意？「加密貨幣有一天將取代 SWIFT 系統作為國際支付方式。」","16 .  Reasons for Crypto Replacing SWIFT: What is the biggest potential advantage of cryptocurrencies over traditional payments via SWIFT system? 
加密貨幣取代 SWIFT 的原因: 您認為加密貨幣相對於 SWIFT 系統最大的潛在優勢是什麼？","17 .  Reasons for SWIFT Enduring: What is the biggest hurdle holding cryptocurrencies back from replacing SWIFT? 
SWIFT 持續存在的原因：您認為加密貨幣在取代 SWIFT 系統前，最大的障礙是什麼？"
"2025/10/27 2:43:34 PM GMT+8","Generation Z: 1997–2012 Z 世代：1997–2012","Yes 是","GMBA","4","Yes 有","7 to 10 years 7 至 10 年","","Long-term wealth building 長期財富累積","Somewhat familiar 有些熟悉","Very willing 非常願意","Yes 會","No 否","Potential for high returns 高報酬潛力;Recommendations from friends or family 來自朋友或家人的建議;Improved regulatory clarity 監管環境更加明朗;Increased knowledge and education 增加知識和教育","Very familiar 非常熟悉","Strongly agree 非常同意","Lower costs 降低成本","Lack of widespread adoption 缺乏廣泛採用"
"2025/11/03 4:17:39 PM GMT+8","Generation Z: 1997–2012 Z 世代：1997–2012","Yes 是","GMBA","3","I have considered it but have not started yet 我曾經考慮過，但尚未開始","Less than 1 year  1 年以下","I don't have enough knowledge 我沒有足夠的知識","Short-term gains 短期收益","Somewhat familiar 有些熟悉","Somewhat unwilling 有些不願意","No change 沒有改變","No 否","Potential for high returns 高報酬潛力;Lower volatility 降低波動性","Somewhat familiar 有些熟悉","Disagree 不同意","Decentralization 去中心化","Regulatory challenges 監管挑戰"
"2025/11/03 4:18:24 PM GMT+8","Millennials (Generation Y): 1981–1996 千禧世代（Y 世代）：1981–1996","Yes 是","GMBA","4","Yes 有","7 to 10 years 7 至 10 年","","Saving for future contingencies (e.g., retirement) 為未來儲蓄（例如退休）","Not at all familiar 完全不熟悉","Somewhat unwilling 有些不願意","No change 沒有改變","Yes 是","Increased knowledge and education 增加知識和教育","Not at all familiar 完全不熟悉","Disagree 不同意","Increased speed 提升速度","Security concerns 安全疑慮"
"2025/11/03 4:19:07 PM GMT+8","Generation Z: 1997–2012 Z 世代：1997–2012","Yes 是","GMBA","3","Yes 有","Less than 1 year  1 年以下","","Short-term gains 短期收益","Not very familiar 不太熟悉","Somewhat willing 有些願意","Slightly decrease 輕微減少","No 否","Increased knowledge and education 增加知識和教育","Not at all familiar 完全不熟悉","Neutral 中立","Greater transparency 更高透明度","Scalability issues 擴展性問題"
"2025/11/03 4:23:34 PM GMT+8","Generation Z: 1997–2012 Z 世代：1997–2012","Yes 是","GMBA","3","I have considered it but have not started yet 我曾經考慮過，但尚未開始","1 to 3 years 1 至 3 年","I don't have enough knowledge 我沒有足夠的知識","Long-term wealth building 長期財富累積","Somewhat familiar 有些熟悉","Neither willing nor unwilling 既不願意也不排斥","No change 沒有改變","Yes 是","Improved regulatory clarity 監管環境更加明朗;Increased knowledge and education 增加知識和教育","Not very familiar 不太熟悉","Neutral 中立","Decentralization 去中心化","High volatility in price 價格高度波動"
"2025/11/03 4:25:34 PM GMT+8","Generation Z: 1997–2012 Z 世代：1997–2012","Yes 是","GMBA","3","Yes 有","1 to 3 years 1 至 3 年","","Long-term wealth building 長期財富累積","Not very familiar 不太熟悉","Somewhat willing 有些願意","Significantly increase 大幅增加","Maybe 可能","Potential for high returns 高報酬潛力;Improved regulatory clarity 監管環境更加明朗;Increased knowledge and education 增加知識和教育","Not at all familiar 完全不熟悉","Neutral 中立","Greater transparency 更高透明度","Regulatory challenges 監管挑戰"
"2025/11/03 4:36:44 PM GMT+8","Generation Z: 1997–2012 Z 世代：1997–2012","Yes 是","GMBA","1 - Novice 初學者","I am not interested 沒有興趣","Less than 1 year  1 年以下","I can't afford it 我負擔不起;I don't have enough knowledge 我沒有足夠的知識","Short-term gains 短期收益","Not very familiar 不太熟悉","Somewhat unwilling 有些不願意","Slightly increase 輕微增加","Maybe 可能","Potential for high returns 高報酬潛力;Improved regulatory clarity 監管環境更加明朗;Increased knowledge and education 增加知識和教育;Lower volatility 降低波動性","Not at all familiar 完全不熟悉","Neutral 中立","Decentralization 去中心化","High volatility in price 價格高度波動"
"2025/11/03 4:56:03 PM GMT+8","Millennials (Generation Y): 1981–1996 千禧世代（Y 世代）：1981–1996","Yes 是","GMBA","1 - Novice 初學者","Yes 有","Less than 1 year  1 年以下","I am not interested 我沒有興趣;I have stopped investing after facing a loss in the past 我曾經因為虧損而停止投資","Saving for future contingencies (e.g., retirement) 為未來儲蓄（例如退休）","Somewhat familiar 有些熟悉","Neither willing nor unwilling 既不願意也不排斥","Slightly increase 輕微增加","No 否","Fear of missing out (FOMO) 害怕錯過;Recommendations from friends or family 來自朋友或家人的建議;Lower volatility 降低波動性","Not at all familiar 完全不熟悉","Neutral 中立","Other 其他","Lack of widespread adoption 缺乏廣泛採用"
"2025/11/03 5:22:43 PM GMT+8","Generation Z: 1997–2012 Z 世代：1997–2012","Yes 是","GMBA","2","Yes 有","1 to 3 years 1 至 3 年","I can't afford it 我負擔不起;I don't have enough knowledge 我沒有足夠的知識","Long-term wealth building 長期財富累積","Not at all familiar 完全不熟悉","Very unwilling 非常不願意","No change 沒有改變","No 否","Recommendations from friends or family 來自朋友或家人的建議;Increased knowledge and education 增加知識和教育;Lower volatility 降低波動性","Not very familiar 不太熟悉","Disagree 不同意","Decentralization 去中心化","High volatility in price 價格高度波動"
"2025/11/03 6:12:09 PM GMT+8","Generation Z: 1997–2012 Z 世代：1997–2012","Yes 是","GMBA","2","I have considered it but have not started yet 我曾經考慮過，但尚未開始","","I don't have enough knowledge 我沒有足夠的知識","Long-term wealth building 長期財富累積","Not very familiar 不太熟悉","Neither willing nor unwilling 既不願意也不排斥","No change 沒有改變","No 否","Recommendations from friends or family 來自朋友或家人的建議;Improved regulatory clarity 監管環境更加明朗;Increased knowledge and education 增加知識和教育;Lower volatility 降低波動性","Not very familiar 不太熟悉","Neutral 中立","Decentralization 去中心化","High volatility in price 價格高度波動"
